id,bedrooms,price,number_of_reviews
14831696,2,145.00,4
3951251,1,88.00,17
16590973,1,130.00,4
9283701,2,110.00,2
6458721,1,115.00,10
14864447,1,70.00,11
16306240,1,120.00,3
15211538,1,45.00,33
1261425,1,45.00,2
5978154,2,240.00,13
10691231,1,130.00,0
8024854,1,185.00,18
6606330,1,145.00,4
1551034,2,300.00,44
17229308,1,85.00,0
2117111,2,179.00,1
17312436,2,205.00,2
5317273,3,175.00,1
76459,1,110.00,11
6667963,0,120.00,27
9424352,2,120.00,10
931801,1,130.00,115
17120914,1,90.00,0
14229674,1,149.00,0
9981383,2,190.00,16
14987811,1,100.00,2
6110143,1,99.00,9
4926673,1,40.00,3
2174139,1,115.00,11
13577417,1,110.00,0
17654056,2,100.00,2
17539225,2,140.00,4
2047323,4,350.00,9
4435135,2,175.00,10
3217966,1,100.00,115
15579126,1,140.00,2
11185335,1,125.00,3
9874608,4,300.00,1
13661461,1,140.00,2
9252010,1,65.00,1
6070927,1,110.00,6
13863250,1,120.00,3
6143603,2,99.00,5
2005996,1,74.00,206
5950879,2,215.00,23
10997159,3,129.00,1
13323689,3,235.00,0
13057640,1,180.00,13
8659596,2,200.00,1
2469007,2,169.00,31
8375536,1,119.00,11
6830664,2,111.00,0
8233604,2,189.00,8
14562797,1,118.00,0
7744120,1,112.00,20
11171087,1,99.00,3
15416919,3,250.00,2
9223760,1,69.00,17
1326658,1,100.00,63
13138677,3,150.00,3
11773527,1,85.00,6
11517521,1,90.00,3
2633582,1,97.00,135
11614207,1,73.00,11
3001581,1,99.00,8
17803888,1,120.00,0
14326318,1,65.00,2
15368844,1,120.00,6
12963180,1,120.00,1
3814846,1,100.00,25
6242853,1,99.00,8
16141651,1,120.00,1
7781948,1,100.00,4
9216119,1,99.00,13
4557044,1,90.00,46
12604401,1,49.00,1
4502661,2,89.00,8
7357283,1,85.00,6
12049839,1,80.00,0
16876655,1,70.00,2
9292601,1,110.00,22
9880410,1,130.00,0
11580852,1,90.00,9
13925388,0,55.00,38
14117599,1,40.00,8
7303805,1,45.00,7
14276081,0,70.00,10
13163805,1,70.00,22
15718431,1,30.00,2
14967001,1,50.00,20
16445806,1,70.00,0
15886823,1,40.00,2
17446031,2,142.00,0
16546301,1,69.00,11
7303459,1,42.00,2
14967582,1,50.00,16
7627532,1,99.00,5
15753136,1,59.00,11
17606679,1,70.00,1
5957043,1,80.00,6
3204444,4,90.00,2
3905287,1,59.00,94
16426363,1,90.00,2
7131573,1,50.00,76
15373287,1,45.00,3
16426076,1,85.00,0
14307719,1,98.00,13
16219344,1,59.00,24
10670670,2,130.00,0
15880862,1,50.00,3
17587228,1,80.00,0
17460676,2,120.00,1
12023314,2,99.00,27
12680964,1,30.00,3
16060513,1,50.00,1
6345602,2,120.00,19
16682109,1,40.00,4
2942229,1,65.00,186
12289041,1,55.00,9
13986172,3,36.00,0
9268952,2,125.00,27
13054514,2,115.00,8
16139419,1,29.00,12
14760407,1,98.00,10
13711830,3,130.00,10
10907707,1,40.00,67
12272272,1,58.00,16
16990775,1,33.00,2
16761395,1,50.00,8
10860856,1,45.00,58
9038396,1,55.00,3
17019247,1,40.00,1
7880299,2,85.00,7
3522143,1,50.00,3
17820612,0,53.00,0
17261479,1,88.00,4
15970340,2,400.00,0
17874192,4,220.00,0
16333022,2,80.00,0
13262666,1,42.00,9
9925265,2,75.00,6
7046849,1,45.00,20
15411166,3,120.00,13
16557956,1,30.00,16
16200584,1,59.00,20
15279131,2,180.00,12
5362748,1,45.00,22
15938312,1,40.00,0
15838026,2,70.00,9
14884660,3,89.00,1
11650989,1,45.00,43
4402514,1,30.00,27
15780868,3,150.00,3
16669922,2,205.00,0
16426504,1,65.00,0
15977029,1,50.00,5
13993768,2,74.00,11
10662701,2,100.00,4
16915340,1,35.00,13
17941656,1,30.00,0
17615037,1,90.00,0
2508498,1,60.00,6
12508971,1,35.00,0
15818103,1,75.00,7
9880934,1,65.00,14
11684742,1,50.00,68
14950157,1,50.00,10
15235602,1,75.00,7
14684283,1,43.00,6
14719018,1,60.00,16
15963995,1,50.00,1
17113482,1,99.00,1
9115414,1,40.00,5
7706472,2,109.00,81
14027169,2,129.00,18
4831606,1,33.00,16
591951,3,150.00,30
16255815,1,59.00,22
15764213,1,60.00,13
5870618,1,250.00,1
3719167,1,44.00,29
14583529,1,100.00,0
17826814,1,75.00,0
12031955,2,120.00,0
13685155,2,135.00,13
11469902,1,65.00,30
16461420,1,50.00,1
