id,bedrooms,price,number_of_reviews
12814144,3,719.00,0
12399510,1,295.00,0
7501081,1,248.00,2
8575136,3,403.00,0
764696,1,302.00,26
11742243,1,959.00,0
11609354,2,931.00,0
11645787,1,216.00,2
1631158,1,184.00,1
2594894,1,302.00,3
10196511,1,216.00,20
10344433,2,403.00,0
10862237,1,176.00,0
13935334,1,318.00,1
8743778,3,7,601.00,0
13904209,1,202.00,0
13625819,1,200.00,0
3444963,1,155.00,61
6941345,1,683.00,0
487197,1,1,901.00,0
5543398,1,163.00,0
4472754,1,1,101.00,3
14063808,1,264.00,0
1832930,1,302.00,10
11211185,1,147.00,0
11603938,1,1,497.00,0
9781868,1,318.00,8
13109420,1,388.00,0
13239415,1,403.00,0
8243114,1,178.00,2
14106659,2,202.00,1
8111570,1,271.00,11
772988,1,783.00,1
2357436,1,248.00,14
4121380,1,496.00,0
372958,1,248.00,0
13704581,1,597.00,0
2528035,1,279.00,7
10401272,1,419.00,17
6310768,1,388.00,0
9325824,1,450.00,7
13233750,1,302.00,0
10116109,1,496.00,0
4107870,1,698.00,2
13663414,1,403.00,0
13557636,1,349.00,0
5245884,1,1,303.00,4
14023881,1,349.00,0
3991195,1,380.00,15
13595428,1,527.00,0
13595965,1,357.00,1
13610948,1,302.00,4
6040946,1,489.00,10
10220683,1,496.00,0
9715649,1,651.00,0
6807651,1,551.00,19
14243530,2,993.00,0
11094919,1,496.00,0
463214,1,861.00,10
7639103,1,946.00,5
10060783,1,900.00,0
11305966,1,597.00,2
13665665,1,302.00,3
9281385,2,698.00,3
11994189,1,396.00,0
13790731,2,1,202.00,0
4072666,1,892.00,7
9208184,1,977.00,0
1328558,1,582.00,16
13635705,1,3,878.00,0
10339383,1,504.00,1
2773078,3,1,543.00,61
9597503,1,977.00,2
14033824,1,791.00,1
1019390,1,597.00,46
9847722,1,496.00,0
5256655,2,814.00,1
1623124,2,582.00,11
14240684,1,597.00,0
11192130,0,403.00,0
6057444,0,783.00,25
4704075,1,698.00,5
7653788,0,799.00,4
9146556,1,302.00,0
14189987,2,892.00,0
12213750,1,900.00,1
11627561,1,597.00,0
7685996,1,597.00,0
2044031,0,698.00,1
13527894,1,496.00,0
9982035,1,698.00,1
2510861,0,768.00,38
9642460,2,2,001.00,0
7135949,1,403.00,0
2029601,1,597.00,26
12193993,0,597.00,3
11700156,1,1,404.00,2
4882578,0,892.00,3
8832114,1,434.00,2
6735865,1,752.00,5
7077996,1,900.00,5
4703563,1,1,249.00,1
2292360,3,1,543.00,66
11667700,1,597.00,1
10683736,1,799.00,3
13109297,1,597.00,1
4343880,1,752.00,5
8230843,1,799.00,9
14305056,0,450.00,0
6720024,1,496.00,8
11487321,1,310.00,1
9341025,1,752.00,0
9140689,1,1,086.00,5
9717160,1,1,295.00,0
2099444,1,845.00,11
9020119,1,760.00,38
13930787,1,349.00,0
9585475,2,799.00,3
3294476,2,1,202.00,7
14256809,1,349.00,0
915543,1,240.00,23
545658,0,752.00,2
9516754,1,496.00,0
4617681,1,597.00,4
2609459,1,1,202.00,12
7311170,3,1,722.00,5
12220188,2,2,001.00,11
12241171,1,326.00,1
9415747,1,799.00,4
7116317,1,1,249.00,0
