id,bedrooms,price,number_of_reviews
18461891,0,110.00,0
20702398,1,50.00,2
6627449,1,125.00,21
19949243,1,100.00,0
1886820,3,300.00,0
5557381,1,69.00,94
19609887,2,150.00,3
7949480,1,101.00,31
21057372,2,100.00,0
16042478,1,200.00,0
9147025,0,125.00,60
1936633,1,115.00,49
19758402,3,62.00,9
11675715,1,85.00,110
3400359,1,44.00,72
4407790,1,47.00,35
715270,1,39.00,131
18852048,1,49.00,1
759901,1,85.00,33
13864221,1,50.00,5
12496118,1,105.00,27
13109017,1,45.00,9
9513511,1,70.00,5
19174868,1,65.00,0
10801360,1,90.00,1
8294259,1,63.00,23
182177,1,125.00,224
17876530,1,110.00,22
5046189,1,200.00,38
773041,1,38.00,93
755528,1,49.00,108
3429765,1,43.00,66
9331257,1,35.00,8
5647069,1,85.00,4
4462008,1,44.00,75
20449125,1,109.00,5
6292515,1,40.00,1
19242246,1,120.00,5
16860045,2,52.00,17
13822852,2,200.00,0
8079482,0,130.00,39
3043548,1,100.00,9
13040683,1,100.00,1
5232121,1,55.00,61
21055320,1,100.00,0
20269743,1,35.00,3
21077625,2,97.00,1
9505762,1,50.00,77
20034264,1,40.00,0
3644017,1,100.00,18
15716189,1,55.00,5
17624190,1,115.00,17
9859181,3,220.00,51
9825967,1,85.00,100
14788009,0,95.00,31
17889021,1,89.00,0
14021937,1,100.00,29
13927922,1,90.00,5
12147125,2,130.00,3
10685496,1,22.00,14
8391132,1,55.00,62
8393016,1,45.00,60
13427702,1,65.00,1
7859360,1,65.00,48
16827715,1,85.00,3
3929317,1,54.00,70
13330683,1,100.00,24
8444555,1,40.00,66
13167611,1,92.00,0
8316959,1,200.00,5
11192104,1,75.00,0
12956315,1,100.00,0
17234796,2,60.00,2
764052,1,390.00,1
4357134,2,200.00,0
12972200,2,125.00,3
3250448,1,89.00,134
8365172,1,45.00,119
21093522,1,129.00,0
1046443,1,200.00,8
6480685,1,45.00,16
19979903,1,75.00,1
11625684,1,100.00,58
