id,bedrooms,price,number_of_reviews
3508970,1,80.00,10
13222966,0,55.00,3
7337128,1,104.00,12
5764597,0,45.00,13
7861852,1,35.00,1
14272211,1,50.00,22
12830452,1,80.00,0
4585376,1,75.00,7
11139002,0,46.00,10
5765171,2,65.00,10
6813772,0,44.00,0
4835504,1,60.00,0
16120077,1,85.00,8
1308953,1,129.00,1
15464159,1,65.00,1
12319042,1,63.00,14
12698862,1,60.00,0
17785367,1,100.00,0
10877404,0,36.00,46
6027868,1,48.00,5
16894579,1,60.00,0
6814330,1,60.00,0
11389601,1,80.00,4
3263160,1,75.00,4
8911558,1,60.00,0
13368194,1,40.00,1
1035221,1,80.00,28
12188585,1,58.00,28
8518602,0,80.00,0
13618173,1,50.00,2
2452419,2,58.00,9
6933634,3,190.00,0
7641840,1,50.00,24
3538407,1,75.00,0
5754593,1,60.00,31
6815738,1,50.00,9
7066124,1,70.00,5
2663203,3,130.00,9
9950038,2,90.00,1
5101149,2,80.00,2
251644,1,94.00,9
1300540,2,70.00,5
1288143,3,150.00,2
2095683,2,130.00,0
6937522,1,70.00,2
2874458,2,75.00,132
12078962,2,160.00,2
6282444,2,120.00,1
1158247,2,65.00,7
7449701,0,60.00,12
12574234,2,105.00,1
11001435,0,60.00,17
14921151,1,180.00,0
7069425,3,100.00,0
11788111,1,55.00,2
6607612,1,70.00,0
3662285,1,69.00,43
766477,2,125.00,1
1309108,1,83.00,0
11789071,1,45.00,16
13886335,2,100.00,2
11527110,1,75.00,4
11789298,0,44.00,12
7070794,1,60.00,0
14660525,1,28.00,10
12576117,1,40.00,4
11134397,0,60.00,3
15459843,0,80.00,14
13442502,0,90.00,0
10479211,0,60.00,2
15853260,2,109.00,8
618842,1,85.00,7
981972,1,60.00,6
9168698,0,65.00,0
4843348,1,60.00,6
13232113,3,200.00,0
5367870,1,40.00,2
12970093,1,80.00,2
2548823,1,65.00,1
14149763,0,55.00,6
3389725,2,69.00,40
7465665,2,50.00,0
13744620,2,160.00,2
1424093,1,99.00,82
3376355,2,115.00,0
13488457,1,60.00,0
7721117,0,50.00,0
281965,1,45.00,25
511973,2,100.00,14
7119712,0,56.00,3
16099929,1,50.00,8
13893107,1,50.00,0
2096243,1,55.00,111
13381612,1,81.00,15
5504445,1,65.00,3
6289970,1,71.00,21
4323543,0,60.00,0
13697506,0,66.00,4
5895843,2,85.00,23
4434153,4,229.00,7
16119727,1,60.00,0
2162325,0,70.00,2
8123968,1,85.00,3
17715811,0,45.00,0
9171769,1,85.00,9
5370632,2,80.00,1
6026218,2,90.00,5
3929034,2,120.00,29
16902812,1,42.00,1
11266668,0,70.00,24
6416940,3,230.00,2
17820191,1,70.00,0
16426752,2,120.00,1
13887392,0,45.00,20
3926830,0,50.00,20
4059088,1,98.00,1
3007604,1,99.00,1
8999101,1,180.00,0
2485267,1,110.00,2
13149615,1,49.00,76
12968898,1,60.00,8
17959702,2,96.00,0
6806542,1,75.00,1
2874341,1,80.00,11
6062004,0,102.00,0
17462124,2,72.00,0
514562,1,90.00,34
17422806,1,45.00,1
9377482,1,35.00,1
515171,1,40.00,92
6595554,1,88.00,62
6281247,1,69.00,0
1170113,1,72.00,134
14940150,0,65.00,34
14378472,1,33.00,19
5888627,0,60.00,8
9741251,2,90.00,2
15967281,0,54.00,26
906577,4,210.00,13
17026697,1,60.00,0
12439127,1,85.00,3
6016575,1,60.00,5
11785131,1,80.00,1
6483809,1,89.00,14
2215273,0,60.00,2
1559863,1,35.00,10
15322328,0,50.00,2
4706239,1,110.00,8
4837106,1,75.00,24
13094062,0,45.00,1
7588905,1,80.00,43
15507949,1,35.00,4
12381465,1,40.00,25
12700315,1,37.00,47
6933036,1,60.00,5
4269946,1,135.00,2
8065161,1,40.00,9
8844991,1,45.00,1
556141,1,49.00,14
902910,2,110.00,25
13010144,2,70.00,2
9740700,0,90.00,4
14743047,1,35.00,24
13257550,1,50.00,13
9234926,1,90.00,1
12699637,0,49.00,4
4966348,2,135.00,75
2081207,0,54.00,38
9425302,0,40.00,12
3261742,3,340.00,67
11908913,1,35.00,12
17024204,1,38.00,3
13615090,1,100.00,2
4439959,1,69.00,4
15616659,1,31.00,2
12566147,0,50.00,6
10094573,1,55.00,19
2605184,2,59.00,1
11291326,1,100.00,0
2443638,1,60.00,10
6141557,1,60.00,12
1160791,1,80.00,68
17938041,0,53.00,0
5881310,1,99.00,23
4647204,,50.00,2
13953194,2,120.00,0
6143037,1,45.00,0
13089573,0,60.00,5
14007059,1,80.00,0
11123447,0,44.00,1
1423821,2,100.00,17
7599178,1,70.00,0
16497038,0,55.00,0
8894761,1,50.00,0
2734995,2,200.00,4
15157517,0,89.00,0
9418163,2,90.00,12
5485905,1,160.00,6
16628283,1,60.00,0
4045353,1,150.00,18
636102,1,45.00,15
7713960,0,60.00,7
14005228,0,45.00,7
2077663,0,65.00,1
13874052,1,60.00,48
4829793,1,120.00,27
7715808,2,90.00,0
7189017,1,79.00,2
9286131,2,120.00,0
7189521,2,130.00,0
15091787,0,50.00,8
13873590,1,47.00,0
15179163,2,110.00,32
11907362,0,40.00,4
9018823,1,65.00,13
4983605,1,67.00,9
15970115,0,75.00,2
11290632,1,43.00,0
14215412,1,90.00,0
14396324,1,100.00,3
764754,2,60.00,5
14396200,1,59.00,8
7449365,1,95.00,0
15444710,1,55.00,1
17822156,1,60.00,0
3780309,1,89.00,2
2549629,1,70.00,81
14265920,1,65.00,16
13690204,2,45.00,2
11390693,0,58.00,10
9842342,2,99.00,10
14165474,0,32.00,0
2861497,1,130.00,20
9315785,1,95.00,14
5220679,1,75.00,1
13871370,1,75.00,5
7161118,0,50.00,15
10522116,1,75.00,2
16318194,1,51.00,2
3909666,2,120.00,18
12691374,0,50.00,11
11249544,2,90.00,1
763700,2,180.00,34
15836948,0,49.00,18
2991881,2,105.00,24
13618804,1,40.00,2
8758279,0,41.00,15
8365060,1,70.00,3
3122119,1,75.00,0
16387987,0,90.00,3
10069284,0,43.00,18
5217051,1,44.00,11
1306719,1,49.00,33
17146401,1,70.00,3
7721010,0,55.00,0
2049433,1,50.00,111
11118011,1,49.00,12
16270728,0,75.00,1
5742736,3,150.00,8
14352454,1,75.00,36
15049353,0,70.00,0
9936982,1,90.00,0
6922183,1,60.00,5
162677,1,95.00,107
6791518,1,60.00,41
16008432,1,90.00,2
17756177,2,70.00,3
13182283,1,60.00,1
5518660,0,70.00,40
14130462,1,40.00,3
7446531,3,67.00,0
6148754,1,100.00,19
6658920,2,65.00,1
10481464,1,100.00,19
6003503,1,58.00,6
9149224,1,26.00,8
12950254,1,80.00,22
16752200,3,125.00,0
17145369,1,50.00,3
8728726,1,70.00,16
12355662,1,75.00,0
2158913,0,88.00,12
6086506,2,125.00,57
14529786,1,99.00,0
3532411,0,50.00,42
13483853,0,70.00,0
4717808,0,65.00,31
13027771,0,250.00,0
5036829,1,80.00,5
14595061,1,84.00,17
12224288,1,120.00,27
17898437,1,65.00,0
16347295,0,59.00,0
2192771,1,59.00,13
15851188,1,30.00,41
12745786,1,119.00,14
16658325,1,59.00,12
16990115,1,30.00,8
12357772,1,70.00,0
9903841,1,49.00,4
12733593,1,70.00,5
7161819,1,65.00,0
13183434,0,70.00,0
1262594,1,130.00,96
4954439,2,100.00,163
11887712,,56.00,65
4455438,1,80.00,0
11392759,0,65.00,34
9911564,1,80.00,0
10170103,1,100.00,6
13185092,1,170.00,0
5621702,1,40.00,0
10927384,1,100.00,0
16832328,1,100.00,0
16505483,1,35.00,3
12284996,0,79.00,8
16508334,0,70.00,10
9120613,1,100.00,36
14409515,2,100.00,0
13664733,1,73.00,6
15358661,1,50.00,16
5102063,1,145.00,43
