id,bedrooms,price,reviews_per_month,review_scores_value
10778114,1,120.00,,
14348712,1,75.00,0.90,10
15749806,1,69.00,0.62,9
9602076,1,140.00,0.92,10
15952233,2,129.00,6.07,8
14737754,2,124.00,4.49,8
3592153,4,450.00,1.95,9
17230584,2,160.00,,
10932760,1,65.00,0.09,8
13168698,1,67.00,,
14621438,1,45.00,1.15,10
3735789,1,85.00,1.53,9
11255072,1,50.00,1.76,9
12988227,1,190.00,,
16080628,1,38.00,1.60,10
6456408,1,70.00,0.37,10
4075119,3,195.00,0.42,10
7524194,1,159.00,,
5156988,1,67.00,3.93,9
10780210,1,100.00,,
16786741,1,55.00,,
421239,1,68.00,1.18,10
711324,1,117.00,,
13052587,1,100.00,0.87,9
14588096,1,140.00,3.10,10
14012265,2,120.00,0.15,8
12905439,3,75.00,1.02,7
14871497,1,72.00,0.61,9
14596,1,115.00,1.56,9
275425,2,305.00,0.03,9
15610715,3,250.00,5.14,9
8404040,1,80.00,0.11,10
11798496,1,80.00,0.27,9
7503783,1,55.00,0.71,9
7806387,1,50.00,0.06,10
13105158,3,1,000.00,,
8777085,1,80.00,0.13,8
13545689,2,999.00,,
6880255,1,30.00,0.10,8
171883,1,59.00,0.98,10
16945019,1,110.00,2,10
6841000,1,39.00,0.15,10
15885025,4,400.00,,
424596,1,110.00,3.83,9
3051772,1,85.00,2.42,9
16917989,2,250.00,,
13985603,1,55.00,,
15422779,1,50.00,0.30,
1127289,1,125.00,2.55,10
11791201,1,50.00,0.33,9
16812211,1,40.00,,
15544101,1,120.00,,
14532559,2,208.00,1.19,9
14465748,1,50.00,,
9172919,2,135.00,6.92,9
7414933,1,99.00,5.09,10
12904818,1,200.00,0.56,10
13285897,2,130.00,0.23,10
9367734,1,125.00,0.32,9
5335821,2,165.00,2.63,9
4872696,1,130.00,,
8612836,1,99.00,5.71,10
16321491,2,89.00,,
14200491,1,130.00,3.51,10
5887650,1,85.00,5.58,9
14870373,0,98.00,4.67,9
14586405,2,157.00,0.18,6
8991385,3,160.00,5.95,9
13546167,2,105.00,3.12,9
227966,1,95.00,2.17,8
6710681,1,120.00,1.51,10
13738448,1,105.00,0.65,10
17038030,0,450.00,,
9130624,2,300.00,0.09,6
12317410,0,55.00,0.59,9
13397033,2,110.00,1.30,10
5332689,2,184.00,2.21,9
16673324,2,120.00,3,10
4697084,2,220.00,1.64,8
11122611,2,149.00,2.77,9
2684689,1,100.00,5.21,10
15742326,2,130.00,3.75,9
12022740,2,300.00,1.69,10
6001077,2,300.00,2.65,9
10597886,2,100.00,5.16,10
14006480,2,127.00,4.79,9
9204654,2,150.00,0.07,6
14397845,1,96.00,1.12,9
16907884,2,130.00,,
12695746,2,149.00,1.29,9
16366201,2,160.00,0.63,6
15757589,1,79.00,1.20,10
12007045,2,110.00,3.94,9
6550308,0,70.00,4.01,9
17309108,4,170.00,,
7495163,2,199.00,0.22,10
13966927,1,110.00,2.29,9
8050059,1,90.00,0.24,9
12279020,1,40.00,2.09,9
2400008,1,200.00,,
9936963,2,100.00,,
12414968,1,20.00,,
9970047,1,50.00,,
11158868,2,1,000.00,,
14705410,1,122.00,1.30,8
9955306,1,120.00,,
17197136,1,80.00,,
16688438,1,35.00,,
12305028,1,28.00,4.03,9
11623149,1,50.00,,
5140379,2,190.00,0.12,9
736773,1,50.00,0.58,9
8399632,1,49.00,0.18,10
6695877,1,60.00,0.05,10
10268094,1,34.00,,
16217899,2,120.00,,
12552542,1,300.00,,
15415544,1,40.00,5.64,8
736794,1,50.00,0.52,8
2361699,1,376.00,,
11418545,2,430.00,,
7896200,2,149.00,,
13842046,1,98.00,0.13,
17166798,1,25.00,,
766628,1,28.00,0.83,10
9507277,1,61.00,1.97,9
12075424,1,100.00,0.76,8
15253519,1,72.00,,
8011817,1,400.00,,
6914056,1,150.00,0.89,9
16138294,2,130.00,0.39,8
15695932,0,75.00,3.43,10
13917911,2,120.00,6.47,10
13287446,2,119.00,5.78,10
5718092,1,95.00,,
15466582,2,125.00,,
12566612,2,60.00,0.22,10
15237202,1,89.00,3.67,10
6946136,1,69.00,3.14,8
11960414,1,30.00,0.09,8
4931656,1,53.00,2.78,10
13959258,1,90.00,2.86,9
14745699,1,100.00,3.05,9
12533865,2,135.00,3.98,9
5455984,1,100.00,,
6609524,1,90.00,0.76,10
10354799,1,70.00,1.65,8
4407415,1,70.00,0.59,9
15351936,1,135.00,0.76,10
14024831,2,115.00,3.33,9
3211366,2,140.00,5.57,9
4407393,1,95.00,6.00,10
13907307,1,29.00,7.50,8
5931145,1,92.00,1.91,9
6111384,4,300.00,0.71,9
15188127,1,70.00,1.13,10
6029465,2,200.00,0.59,9
16318629,2,90.00,2,9
14074028,1,50.00,0.48,9
13074605,1,40.00,1.08,9
12779694,1,69.00,0.52,8
7274675,1,100.00,,
17023165,2,220.00,,
15253695,2,375.00,1,10
4470132,1,79.00,2.20,9
16908488,1,70.00,1,10
17219788,1,50.00,,
5390518,2,119.00,4.25,8
747976,1,34.00,1.85,9
9912531,1,110.00,0.49,10
17285337,1,100.00,,
14926044,2,120.00,1.36,9
16662753,1,25.00,,
9896184,1,361.00,0.10,10
13828348,2,120.00,1.61,9
5112045,2,129.00,0.90,10
15466746,1,60.00,0.92,9
7192835,1,65.00,0.41,9
12484873,1,70.00,0.31,9
13582605,1,79.00,0.86,8
10486033,1,52.00,1.13,10
5914901,2,200.00,0.26,9
13941378,1,29.00,0.41,10
6226192,1,40.00,2.76,9
11567383,1,40.00,0.18,9
12083248,2,76.00,0.70,9
8519972,1,80.00,0.18,9
2162973,1,108.00,1.12,9
16990508,2,600.00,,
16433483,1,80.00,,
15597622,1,110.00,5.14,10
