id,bedrooms,price,reviews_per_month,review_scores_value
7830063,1,42.00,5.04,9
9898596,3,135.00,4.39,9
15334645,1,81.00,5.57,9
1307795,1,43.00,0.24,10
17410608,2,50.00,4.29,10
9141653,3,144.00,6.19,10
1320674,1,60.00,1.77,10
15118056,1,68.00,6.92,10
14870504,1,29.00,,
17049729,1,60.00,2.14,7
16153065,1,30.00,2.00,10
7233222,1,33.00,5.27,9
11697470,4,79.00,2.86,8
10935260,1,25.00,7.63,9
15053735,1,60.00,0.59,10
16818439,1,80.00,0.56,
6483900,1,65.00,6.28,9
10079445,1,39.00,3.48,9
4711892,1,60.00,,
6617552,1,30.00,2.38,9
15249009,1,44.00,2.68,9
17744949,1,35.00,,
14018401,2,120.00,3.23,9
120293,1,25.00,1.03,10
15478451,1,40.00,2.50,10
13940202,2,65.00,0.73,8
17758100,0,28.00,1,8
17798481,1,75.00,,
1742289,1,45.00,1.70,9
4602864,0,60.00,2.62,10
17955701,1,28.00,,
13898710,5,400.00,2.09,10
16058837,1,62.00,0.43,10
1863038,2,105.00,2.32,10
608742,0,65.00,4.04,10
17841797,0,59.00,2,10
17820059,1,90.00,3,9
4613701,1,80.00,0.60,9
6420159,1,31.00,3.92,9
10703616,1,55.00,3.89,9
196336,1,70.00,2.40,10
8298956,1,30.00,0.70,9
17674109,1,17.00,,
1717189,2,72.00,2.79,9
17845863,1,38.00,,
8527766,1,25.00,,
6474285,1,95.00,,
12794973,2,72.00,3.46,10
15070118,2,220.00,2.15,10
10182539,3,45.00,0.73,8
11116160,2,65.00,4.58,9
16765356,1,50.00,2.73,9
13538589,1,75.00,1.93,9
15345037,1,33.00,3.53,9
12187486,1,33.00,1.63,9
15415682,1,44.00,3.16,10
3238612,1,95.00,0.39,9
5699593,2,100.00,2.31,10
16566112,1,52.00,5.37,8
4411068,1,60.00,1.73,9
3334109,1,28.00,0.37,9
7813139,0,65.00,3.83,9
1434789,2,90.00,0.30,9
3670488,1,70.00,,
8402787,2,89.00,7.26,9
1699883,1,49.00,3.19,9
8158709,1,62.00,2.00,9
16925839,1,47.00,2,8
17493852,1,30.00,4.41,9
14412412,2,90.00,5.29,9
1106495,1,48.00,2.24,9
17620092,2,95.00,,
3369521,2,155.00,0.30,8
6238445,1,65.00,4.75,10
9288851,3,129.00,0.75,9
1622564,2,90.00,0.68,9
11890982,0,80.00,1.29,9
