id,bedrooms,price,calculated_host_listings_count,review_scores_value
18461891,0,110.00,1,
20702398,1,50.00,1,10
6627449,1,125.00,1,10
19949243,1,100.00,1,
1886820,3,300.00,1,
5557381,1,69.00,1,10
19609887,2,150.00,1,10
7949480,1,101.00,1,10
21057372,2,100.00,1,
16042478,1,200.00,1,
9147025,0,125.00,1,10
1936633,1,115.00,1,10
19758402,3,62.00,1,9
11675715,1,85.00,1,10
3400359,1,44.00,4,9
4407790,1,47.00,4,10
715270,1,39.00,5,9
18852048,1,49.00,1,10
759901,1,85.00,4,9
13864221,1,50.00,1,9
12496118,1,105.00,3,9
13109017,1,45.00,1,9
9513511,1,70.00,1,10
19174868,1,65.00,1,
10801360,1,90.00,2,10
8294259,1,63.00,3,10
182177,1,125.00,4,9
17876530,1,110.00,3,10
5046189,1,200.00,3,9
773041,1,38.00,5,9
755528,1,49.00,5,9
3429765,1,43.00,4,10
9331257,1,35.00,2,10
5647069,1,85.00,4,9
4462008,1,44.00,4,9
20449125,1,109.00,1,10
6292515,1,40.00,1,10
19242246,1,120.00,1,9
16860045,2,52.00,1,10
13822852,2,200.00,1,
8079482,0,130.00,1,10
3043548,1,100.00,1,9
13040683,1,100.00,1,10
5232121,1,55.00,4,9
21055320,1,100.00,1,
20269743,1,35.00,1,7
21077625,2,97.00,2,10
9505762,1,50.00,1,10
20034264,1,40.00,1,
3644017,1,100.00,1,10
15716189,1,55.00,2,10
17624190,1,115.00,1,10
9859181,3,220.00,1,9
9825967,1,85.00,1,9
14788009,0,95.00,1,10
17889021,1,89.00,1,
14021937,1,100.00,1,10
13927922,1,90.00,1,8
12147125,2,130.00,2,10
10685496,1,22.00,2,10
8391132,1,55.00,5,9
8393016,1,45.00,5,9
13427702,1,65.00,1,
7859360,1,65.00,1,9
16827715,1,85.00,1,10
3929317,1,54.00,1,10
13330683,1,100.00,2,10
8444555,1,40.00,5,9
13167611,1,92.00,1,
8316959,1,200.00,1,10
11192104,1,75.00,2,
12956315,1,100.00,1,
17234796,2,60.00,1,10
764052,1,390.00,1,10
4357134,2,200.00,1,
12972200,2,125.00,2,10
3250448,1,89.00,1,9
8365172,1,45.00,1,10
21093522,1,129.00,1,
1046443,1,200.00,2,10
6480685,1,45.00,8,10
19979903,1,75.00,1,10
11625684,1,100.00,6,8
20689638,1,125.00,8,10
11641041,3,188.00,2,10
18159825,0,99.00,1,10
15530531,1,125.00,1,8
7927466,2,150.00,1,9
8741446,3,181.00,8,10
19875244,1,55.00,1,10
239733,1,68.00,1,10
10735397,2,110.00,1,10
10789911,1,80.00,1,10
15336336,1,150.00,1,9
8783113,1,65.00,2,10
6950074,1,110.00,1,9
13512004,1,65.00,2,10
20459144,1,50.00,1,9
2896760,1,60.00,4,9
6043315,1,40.00,2,9
19019592,2,133.00,2,8
19282178,2,165.00,2,10
13388649,1,95.00,1,10
8143851,1,80.00,1,
20857712,1,46.00,2,
1209955,1,69.00,2,9
9698613,1,35.00,1,10
16147471,1,49.00,3,
20997977,2,200.00,1,
14968955,1,80.00,4,10
19950498,2,200.00,1,9
11301089,2,199.00,2,6
7631233,1,55.00,1,
2519770,2,150.00,1,10
20714304,1,79.00,1,8
11434386,1,45.00,1,9
20871796,0,90.00,1,8
10360144,1,40.00,2,10
20190640,1,59.00,2,8
14587187,2,150.00,1,
15899509,1,89.00,1,9
10526346,1,34.00,1,10
7254864,1,150.00,1,8
10928176,2,175.00,1,
6472275,1,45.00,8,10
4377221,1,45.00,8,9
20674761,1,75.00,1,10
17368490,2,140.00,1,9
4392596,1,65.00,1,
18549222,1,80.00,1,9
20122292,1,112.00,1,10
15008306,1,87.00,2,10
19784492,1,60.00,1,
19207857,2,130.00,2,9
18946376,1,35.00,1,10
4772857,1,60.00,8,10
18275045,1,57.00,1,
13331735,1,100.00,2,9
13575399,1,50.00,2,
6398715,1,44.00,1,
13491197,1,85.00,1,10
14756273,1,60.00,1,
19477007,1,80.00,1,9
7679091,1,159.00,1,9
7418871,1,65.00,2,10
18476483,1,34.00,1,
20151455,1,40.00,8,10
9452237,2,130.00,2,9
13492036,1,75.00,1,10
2440357,1,180.00,1,10
17382781,1,70.00,2,
5127571,1,36.00,1,
16179103,1,60.00,3,
4211510,1,50.00,6,8
4934421,1,65.00,1,
6441936,1,84.00,1,10
2051499,1,115.00,1,7
5328633,3,225.00,1,10
20927619,1,60.00,8,
4645841,1,129.00,1,9
11098211,1,165.00,1,10
20928742,1,49.00,1,
876792,1,69.00,1,9
11624694,1,120.00,1,10
20996996,1,75.00,2,
3499016,1,100.00,1,8
5728500,1,58.00,2,9
3835681,1,50.00,4,9
12814991,1,159.00,1,10
8096877,1,89.00,1,
20942352,1,47.00,1,8
8507328,1,50.00,5,9
21023313,1,49.00,1,10
12630490,2,135.00,1,9
20674263,1,60.00,1,10
10136508,1,45.00,1,10
308148,1,70.00,1,
14856378,3,153.00,1,10
7385692,1,85.00,2,6
9351013,0,89.00,1,9
9595836,1,90.00,6,8
15641528,1,120.00,1,7
13543975,1,75.00,1,9
16427245,1,70.00,1,
11968958,0,78.00,1,10
6168880,1,215.00,1,10
19309654,1,90.00,1,8
6595943,1,99.00,1,10
6071500,2,250.00,1,
8953050,1,75.00,1,
12998169,0,125.00,1,
20223030,1,105.00,1,
6706703,1,50.00,1,
15126483,1,70.00,1,10
16945254,1,99.00,1,10
577324,1,54.00,1,9
16027061,2,250.00,1,
7637901,1,70.00,1,9
19179997,1,73.00,1,10
11553543,1,45.00,1,10
9997006,1,70.00,1,
8145603,1,75.00,1,10
6196265,3,150.00,1,10
8686361,1,50.00,8,10
4376618,1,45.00,8,9
3835757,1,50.00,4,9
19382870,1,50.00,1,
18268446,1,60.00,1,10
13770780,1,60.00,2,10
21136851,1,150.00,2,
16302869,1,65.00,1,10
13202799,1,65.00,1,
4767748,1,105.00,8,10
9078187,1,83.00,1,9
13276320,1,125.00,1,9
5041360,1,40.00,1,
12380704,1,45.00,1,10
14215061,1,70.00,1,10
19915657,1,49.00,8,9
2745140,1,60.00,6,9
6677008,1,52.00,1,10
13101001,1,58.00,1,10
57166,3,140.00,1,7
6611592,2,180.00,1,10
15392868,1,80.00,1,10
20307087,1,106.00,1,10
12377755,1,55.00,1,10
19848103,3,200.00,2,10
17684828,2,200.00,1,10
18601252,1,49.00,1,8
4772987,1,55.00,8,9
19910705,1,90.00,1,10
9555648,1,95.00,1,10
