id,bedrooms,price,reviews_per_month,review_scores_value
3508970,1,80.00,0.46,9
13222966,0,55.00,0.30,10
7337128,1,104.00,0.58,8
5764597,0,45.00,1.21,9
7861852,1,35.00,0.06,6
14272211,1,50.00,2.67,10
12830452,1,80.00,,
4585376,1,75.00,0.29,9
11139002,0,46.00,0.72,9
5765171,2,65.00,0.41,10
6813772,0,44.00,,
4835504,1,60.00,,
16120077,1,85.00,2.29,9
1308953,1,129.00,0.03,10
15464159,1,65.00,0.21,
12319042,1,63.00,1.18,9
12698862,1,60.00,,
17785367,1,100.00,,
10877404,0,36.00,3.60,9
6027868,1,48.00,0.27,9
16894579,1,60.00,,
6814330,1,60.00,,
11389601,1,80.00,0.42,8
3263160,1,75.00,0.19,9
8911558,1,60.00,,
13368194,1,40.00,0.16,10
1035221,1,80.00,0.65,9
12188585,1,58.00,2.45,10
8518602,0,80.00,,
13618173,1,50.00,0.41,10
2452419,2,58.00,0.30,9
6933634,3,190.00,,
7641840,1,50.00,1.19,9
3538407,1,75.00,,
5754593,1,60.00,1.49,9
6815738,1,50.00,0.41,10
7066124,1,70.00,0.24,10
2663203,3,130.00,0.27,9
9950038,2,90.00,0.07,10
5101149,2,80.00,0.09,9
251644,1,94.00,0.15,9
1300540,2,70.00,0.21,10
1288143,3,150.00,0.05,6
2095683,2,130.00,,
6937522,1,70.00,0.09,10
2874458,2,75.00,3.72,9
12078962,2,160.00,0.20,10
6282444,2,120.00,0.05,10
1158247,2,65.00,0.16,10
7449701,0,60.00,0.58,8
12574234,2,105.00,0.24,10
11001435,0,60.00,1.21,9
14921151,1,180.00,,
7069425,3,100.00,,
11788111,1,55.00,0.16,10
6607612,1,70.00,,
3662285,1,69.00,1.43,10
766477,2,125.00,0.03,10
1309108,1,83.00,,
11789071,1,45.00,1.27,10
13886335,2,100.00,0.23,9
11527110,1,75.00,0.50,10
11789298,0,44.00,0.98,9
7070794,1,60.00,,
14660525,1,28.00,1.32,8
12576117,1,40.00,0.39,10
11134397,0,60.00,0.25,10
15459843,0,80.00,5.32,9
13442502,0,90.00,,
10479211,0,60.00,0.14,10
15853260,2,109.00,2.82,9
618842,1,85.00,0.84,10
981972,1,60.00,0.14,8
9168698,0,65.00,,
4843348,1,60.00,0.29,9
13232113,3,200.00,,
5367870,1,40.00,0.12,7
12970093,1,80.00,0.22,8
2548823,1,65.00,0.05,10
14149763,0,55.00,0.97,10
3389725,2,69.00,1.20,9
7465665,2,50.00,,
13744620,2,160.00,0.32,8
1424093,1,99.00,2.29,9
3376355,2,115.00,,
13488457,1,60.00,,
7721117,0,50.00,,
281965,1,45.00,0.45,10
511973,2,100.00,0.31,9
7119712,0,56.00,0.16,8
16099929,1,50.00,1.97,9
13893107,1,50.00,,
2096243,1,55.00,3.01,10
13381612,1,81.00,2.96,9
5504445,1,65.00,0.87,10
6289970,1,71.00,1.19,9
4323543,0,60.00,,
13697506,0,66.00,0.44,8
5895843,2,85.00,0.96,9
4434153,4,229.00,0.25,10
16119727,1,60.00,,
2162325,0,70.00,0.11,9
8123968,1,85.00,0.24,8
17715811,0,45.00,,
9171769,1,85.00,0.55,9
5370632,2,80.00,0.05,10
6026218,2,90.00,0.50,9
3929034,2,120.00,0.92,10
16902812,1,42.00,0.54,10
11266668,0,70.00,1.78,10
6416940,3,230.00,0.09,10
17820191,1,70.00,,
16426752,2,120.00,0.30,10
13887392,0,45.00,2.27,9
3926830,0,50.00,0.63,9
4059088,1,98.00,0.15,8
3007604,1,99.00,0.11,8
8999101,1,180.00,,
2485267,1,110.00,0.07,10
13149615,1,49.00,7.57,10
12968898,1,60.00,0.75,8
17959702,2,96.00,,
6806542,1,75.00,0.05,10
2874341,1,80.00,0.32,8
6062004,0,102.00,,
17462124,2,72.00,,
514562,1,90.00,1.35,9
17422806,1,45.00,1,8
9377482,1,35.00,0.06,
515171,1,40.00,1.60,9
6595554,1,88.00,2.78,9
6281247,1,69.00,,
1170113,1,72.00,2.86,9
14940150,0,65.00,4.95,10
14378472,1,33.00,2.64,10
5888627,0,60.00,0.34,9
9741251,2,90.00,0.13,9
15967281,0,54.00,6.05,10
906577,4,210.00,0.30,10
17026697,1,60.00,,
12439127,1,85.00,0.52,10
6016575,1,60.00,0.22,9
11785131,1,80.00,0.11,8
6483809,1,89.00,0.64,10
2215273,0,60.00,0.06,8
1559863,1,35.00,0.43,9
15322328,0,50.00,0.63,8
4706239,1,110.00,0.43,10
4837106,1,75.00,1.04,9
13094062,0,45.00,0.09,
7588905,1,80.00,2.38,9
15507949,1,35.00,0.69,7
12381465,1,40.00,2.21,10
12700315,1,37.00,4.39,10
6933036,1,60.00,0.24,9
4269946,1,135.00,0.14,8
8065161,1,40.00,0.93,8
8844991,1,45.00,0.06,10
556141,1,49.00,0.41,10
902910,2,110.00,0.50,10
13010144,2,70.00,0.21,10
9740700,0,90.00,0.25,10
14743047,1,35.00,3.43,10
13257550,1,50.00,1.30,10
9234926,1,90.00,0.06,10
12699637,0,49.00,0.39,8
4966348,2,135.00,2.91,10
2081207,0,54.00,0.95,10
9425302,0,40.00,0.79,10
3261742,3,340.00,2.04,9
11908913,1,35.00,1.26,9
17024204,1,38.00,1.64,9
13615090,1,100.00,0.27,10
4439959,1,69.00,0.22,9
15616659,1,31.00,0.64,9
12566147,0,50.00,0.65,9
10094573,1,55.00,1.22,10
2605184,2,59.00,0.03,
11291326,1,100.00,,
2443638,1,60.00,0.29,10
6141557,1,60.00,0.54,9
1160791,1,80.00,1.48,10
17938041,0,53.00,,
5881310,1,99.00,1.75,9
4647204,,50.00,0.07,8
13953194,2,120.00,,
6143037,1,45.00,,
13089573,0,60.00,0.52,10
14007059,1,80.00,,
11123447,0,44.00,0.07,
1423821,2,100.00,0.40,9
7599178,1,70.00,,
16497038,0,55.00,,
8894761,1,50.00,,
2734995,2,200.00,0.11,10
15157517,0,89.00,,
9418163,2,90.00,1.26,10
5485905,1,160.00,0.28,10
16628283,1,60.00,,
4045353,1,150.00,0.95,9
636102,1,45.00,0.27,9
7713960,0,60.00,0.44,8
14005228,0,45.00,0.82,9
2077663,0,65.00,0.04,6
13874052,1,60.00,5.37,9
4829793,1,120.00,1.59,9
7715808,2,90.00,,
7189017,1,79.00,0.45,10
9286131,2,120.00,,
7189521,2,130.00,,
15091787,0,50.00,1.20,9
13873590,1,47.00,,
15179163,2,110.00,5.55,9
11907362,0,40.00,0.32,9
9018823,1,65.00,0.81,9
4983605,1,67.00,0.49,9
15970115,0,75.00,0.43,10
11290632,1,43.00,,
14215412,1,90.00,,
14396324,1,100.00,0.42,10
764754,2,60.00,0.15,9
14396200,1,59.00,1.45,10
7449365,1,95.00,,
15444710,1,55.00,1,10
17822156,1,60.00,,
3780309,1,89.00,0.30,9
2549629,1,70.00,2.22,9
14265920,1,65.00,2.01,9
13690204,2,45.00,0.25,9
11390693,0,58.00,0.87,9
9842342,2,99.00,0.96,10
14165474,0,32.00,,
2861497,1,130.00,2.18,10
9315785,1,95.00,1.08,9
5220679,1,75.00,0.05,
13871370,1,75.00,0.59,10
7161118,0,50.00,0.72,10
10522116,1,75.00,0.17,10
16318194,1,51.00,0.58,9
3909666,2,120.00,0.58,9
12691374,0,50.00,0.99,10
11249544,2,90.00,0.14,8
763700,2,180.00,0.71,9
15836948,0,49.00,3.91,9
